epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.4983,1.3413,4.04411,1.68144,0.03477,0.13867,0.06388,0.05209,1.11979,4.33375,1.57092,0.000147875,0.000147875,0.000147875
2,188.724,1.27735,3.59766,1.646,0.81948,0.07888,0.07558,0.04939,1.29204,3.60611,1.71641,0.000293611,0.000293611,0.000293611
3,281.864,1.2783,3.25056,1.6495,0.73944,0.10432,0.11845,0.06818,1.35318,3.49835,1.73651,0.00043334,0.00043334,0.00043334
4,537.051,1.29292,3.0515,1.67191,0.65688,0.09556,0.1245,0.06714,1.83685,3.45175,1.99615,0.000427973,0.000427973,0.000427973
5,630.964,1.28744,2.89194,1.65098,0.88281,0.11402,0.17247,0.11538,1.2956,2.83799,1.77609,0.000418964,0.000418964,0.000418964
6,718.595,1.27716,2.7238,1.6629,0.34066,0.23408,0.20923,0.1354,1.34856,3.16181,1.73883,0.000409955,0.000409955,0.000409955
7,811.033,1.27874,2.62046,1.64334,0.60439,0.25032,0.26774,0.16094,1.25565,2.73101,1.70958,0.000400946,0.000400946,0.000400946
8,899.074,1.29687,2.50659,1.6352,0.59667,0.24104,0.27657,0.16837,1.17208,2.75141,1.62389,0.000391937,0.000391937,0.000391937
9,986.377,1.25209,2.43272,1.60248,0.39989,0.30536,0.31896,0.20648,1.14869,2.56478,1.59523,0.000382928,0.000382928,0.000382928
10,1072.95,1.23363,2.33486,1.60428,0.34959,0.3526,0.3097,0.19893,1.22297,2.41826,1.61628,0.000373919,0.000373919,0.000373919
11,1159.19,1.23269,2.275,1.59232,0.52997,0.36768,0.39153,0.24035,1.22065,2.24606,1.5872,0.00036491,0.00036491,0.00036491
12,1247.23,1.19842,2.18559,1.55652,0.30504,0.43743,0.36734,0.22972,1.30793,2.46534,1.62696,0.000355901,0.000355901,0.000355901
